Metabolite,Amplitude,SD,Phase,Damping,DFreq,Noise_from_LastPts,Estimated_CRB,Workflow,Signal
MM087,4.1498E0,1.7167E1,0.0000E0,3.0000E1,4.9291E-1,2.3043E-2,3.9559E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
MM167,5.3730E0,2.9006E1,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,6.6839E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
MM181,5.6417E0,3.0457E1,0.0000E0,3.0000E1,-8.0000E0,2.3043E-2,7.0181E-1,2023-11-13_09:47:47,Rec017_Vox2_quest2
PCh,1.9889E-1,1.3790E0,0.0000E0,3.0000E1,-8.0000E0,0.0000E0,4.8019E-2,2023-11-13_09:47:47,Rec012_Vox1_quest2
NAAG,8.2350E-1,1.5642E0,0.0000E0,3.0000E1,-5.2445E0,3.4821E-2,5.4467E-2,2023-11-13_09:47:47,Rec012_Vox1_quest2
NAA,4.1175E0,7.8210E0,0.0000E0,3.0000E1,-5.2445E0,3.4821E-2,2.7234E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
GPC,1.7900E-1,1.2411E0,0.0000E0,3.0000E1,-8.0000E0,3.4821E-2,4.3217E-2,2023-11-13_09:47:47,Rec012_Vox1_quest2
Tau,3.0189E0,6.0026E0,0.0000E0,3.0000E1,-6.9170E0,3.4821E-2,2.0902E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
Asp,2.6264E0,1.1039E1,0.0000E0,3.0000E1,-8.0000E0,3.4821E-2,3.8440E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
PE,6.9570E-1,5.8568E0,0.0000E0,3.0000E1,-5.3184E0,3.4821E-2,2.0394E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
Lac,4.3995E0,1.0126E1,0.0000E0,3.0000E1,2.4454E0,3.4821E-2,3.5262E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
Ala,9.3486E-1,4.4389E0,0.0000E0,3.0000E1,2.4454E0,3.4821E-2,1.5457E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
Gly,6.4055E-1,9.9195E-1,0.0000E0,3.0000E1,-4.7032E0,3.4821E-2,3.4541E-2,2023-11-13_09:47:47,Rec012_Vox1_quest2
mI,3.2028E0,4.9598E0,0.0000E0,3.0000E1,-4.7032E0,3.4821E-2,1.7271E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
GABA,2.6294E0,5.5502E0,0.0000E0,3.0000E1,-7.6021E0,3.4821E-2,1.9327E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
Gln,2.9132E0,5.2278E0,0.0000E0,3.0000E1,-4.2899E0,3.4821E-2,1.8204E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
Glu,6.2970E0,6.8648E0,0.0000E0,3.0000E1,-4.2899E0,3.4821E-2,2.3904E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
Glc,1.4212E0,5.4617E0,0.0000E0,3.0000E1,3.3721E0,3.4821E-2,1.9018E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
PCr,1.2142E0,5.8500E0,0.0000E0,3.0000E1,-5.2072E0,3.4821E-2,2.0371E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
Cre,1.1038E0,5.3182E0,0.0000E0,3.0000E1,-5.2072E0,3.4821E-2,1.8519E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
water1,1.5678E-1,1.3206E0,8.3146E1,3.0000E1,1.6147E-1,3.4821E-2,4.5986E-2,2023-11-13_09:47:47,Rec012_Vox1_quest2
water2,1.0174E0,1.8384E0,-1.4576E2,3.0000E1,1.6147E-1,3.4821E-2,6.4017E-2,2023-11-13_09:47:47,Rec012_Vox1_quest2
water3,5.5485E-1,1.4274E0,4.4007E1,3.0000E1,1.6147E-1,3.4821E-2,4.9705E-2,2023-11-13_09:47:47,Rec012_Vox1_quest2
MM09,6.5888E0,1.4457E1,0.0000E0,3.0000E1,3.1994E0,3.4821E-2,5.0341E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
MM12,7.9065E0,1.7348E1,0.0000E0,3.0000E1,-8.0000E0,3.4821E-2,6.0409E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
MM14,7.9065E0,1.7348E1,0.0000E0,3.0000E1,-8.0000E0,3.4821E-2,6.0409E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
MM19,6.5888E0,1.4457E1,0.0000E0,3.0000E1,-8.0000E0,3.4821E-2,5.0341E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
MM20,7.9065E0,1.7348E1,0.0000E0,3.0000E1,-8.0000E0,3.4821E-2,6.0409E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
MM22,6.5888E0,1.4457E1,0.0000E0,3.0000E1,-8.0000E0,3.4821E-2,5.0341E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
MM27,6.5888E0,1.4457E1,0.0000E0,3.0000E1,-8.0000E0,3.4821E-2,5.0341E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
MM30,6.5888E0,1.4457E1,0.0000E0,3.0000E1,-8.0000E0,3.4821E-2,5.0341E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
MM32,6.5888E0,1.4457E1,0.0000E0,3.0000E1,-8.0000E0,3.4821E-2,5.0341E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
MM37,5.2710E0,1.1565E1,0.0000E0,3.0000E1,-8.0000E0,3.4821E-2,4.0273E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
MM39,5.2710E0,1.1565E1,0.0000E0,3.0000E1,-8.0000E0,3.4821E-2,4.0273E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
MM079,8.5654E0,1.8794E1,0.0000E0,3.0000E1,3.1994E0,3.4821E-2,6.5443E-1,2023-11-13_09:47:47,Rec012_Vox1_quest2
